memento,1
interstellar,0.604308
brigham-city,0.60131
cop-land,0.56542
my-big-fat-greek-wedding-2,0.55158
russian-ark,0.546716
requiem,0.53967
zombeavers,0.538855
wall-e,0.528704
philadelphia,0.511745
diary-of-a-mad-black-woman,0.481266
gattaca,0.479238
chaplin,0.479001
saving-face,0.461814
harry-potter-and-the-sorcerers-stone,0.457246
oasis,0.441638
beginners,0.438866
charlie-and-the-chocolate-factory,0.429293
jaws,0.428718
the-core,0.419403
saved!,0.417107
the-tale-of-the-princess-kaguya,0.414037
the-to-do-list,0.409679
celebrity,0.40783
spy-game,0.40613
the-big-lebowski,0.405558
the-lord-of-the-rings-the-two-towers,0.405042
jerry-maguire,0.404358
all-about-lily-chou-chou,0.395147
toy-story,0.388662
moulin-rouge!,0.384383
from-hell,0.380689
journey-to-the-center-of-the-earth,0.377474
natural-born-killers,0.366375
team-america-world-police,0.361283
brother-bear,0.360098
night-watch-nochnoi-dozor,0.356921
pina,0.356097
1000-times-good-night,0.355161
the-matador-2005,0.35436
the-beguiled,0.351659
shin-godzilla-godzilla-resurgence,0.351108
night-at-the-museum-battle-of-the-smithsonian,0.347431
right-now-wrong-then,0.346976
mission-impossible-ii,0.34682
swingers,0.343508
think-like-a-man-too,0.343282
jimmy-neutron-boy-genius,0.340146
the-thirteenth-floor,0.340015
far-from-heaven,0.339806
